,image,X1,Y1,X3,Y2,X5,Y3,X7,Y4,X9,Y5,X11,Y6,X13,Y7,X15,Y8,X17,Y9,X19,Y10,X21,Y11,X23,Y12,X25,Y13,X27,Y14,X29,Y15,X31,Y16,act_id
0,015601864.jpg,895.0,293.0,910.0,279.0,945.0,223.0,1012.0,218.0,961.0,315.0,960.0,403.0,979.0,221.0,906.0,190.0,912.4915,190.6586,830.5085,182.3414,871.0,304.0,883.0,229.0,888.0,174.0,924.0,206.0,1013.0,203.0,955.0,263.0,1.0
1,015599452.jpg,0.0,0.0,0.0,0.0,806.0,543.0,720.0,593.0,0.0,0.0,0.0,0.0,763.0,568.0,683.0,290.0,682.0,256.0,676.0,68.0,563.0,296.0,555.0,410.0,647.0,281.0,719.0,299.0,711.0,516.0,545.0,466.0,1.0
2,005808361.jpg,804.0,711.0,816.0,510.0,908.0,438.0,1040.0,454.0,906.0,528.0,883.0,707.0,974.0,446.0,985.0,253.0,982.7591,235.9694,962.2409,80.0306,869.0,214.0,798.0,340.0,902.0,253.0,1067.0,253.0,1167.0,353.0,1142.0,478.0,1.0
3,086617615.jpg,515.0,512.0,514.0,420.0,406.0,388.0,392.0,360.0,493.0,434.0,518.0,504.0,399.0,374.0,498.0,317.0,504.5953,315.1758,585.4047,292.8242,628.0,426.0,551.0,398.0,501.0,351.0,495.0,282.0,425.0,301.0,483.0,334.0,1.0
4,060111501.jpg,980.0,322.0,896.0,318.0,865.0,248.0,943.0,226.0,948.0,290.0,881.0,349.0,904.0,237.0,858.0,135.0,871.1877,180.4244,835.8123,58.5756,772.0,294.0,754.0,247.0,792.0,147.0,923.0,123.0,995.0,163.0,961.0,223.0,1.0
5,070807258.jpg,896.0,436.0,875.0,397.0,885.0,295.0,852.0,363.0,797.0,442.0,823.0,505.0,869.0,329.0,737.0,323.0,719.0,326.0,648.0,338.0,804.0,305.0,804.0,237.0,741.0,285.0,732.0,361.0,758.0,411.0,757.0,485.0,1.0
6,002058449.jpg,918.0,456.0,659.0,518.0,713.0,413.0,979.0,288.0,1222.0,453.0,974.0,399.0,846.0,351.0,738.0,259.0,795.2738,314.8937,597.7262,122.1063,441.0,490.0,446.0,434.0,599.0,270.0,877.0,247.0,1112.0,384.0,1012.0,489.0,1.0
7,021233911.jpg,0.0,0.0,355.0,408.0,269.0,354.0,432.0,333.0,464.0,425.0,0.0,0.0,351.0,344.0,310.0,158.0,308.4257,139.7834,297.5743,14.2166,335.0,328.0,212.0,304.0,230.0,168.0,389.0,147.0,492.0,259.0,413.0,321.0,2.0
8,018182497.jpg,0.0,0.0,329.0,409.0,262.0,352.0,399.0,316.0,439.0,423.0,0.0,0.0,331.0,334.0,245.0,213.0,211.002,177.0151,124.998,85.9849,157.0,477.0,159.0,371.0,169.0,254.0,320.0,171.0,443.0,231.0,364.0,300.0,2.0
9,018340451.jpg,423.0,378.0,411.0,288.0,344.0,259.0,394.0,251.0,456.0,283.0,453.0,369.0,369.0,255.0,344.0,190.0,345.6244,184.3958,362.3756,126.6042,381.0,264.0,337.0,247.0,316.0,189.0,372.0,190.0,394.0,239.0,421.0,257.0,622.0
10,030424224.jpg,476.0,407.0,476.0,295.0,510.0,264.0,564.0,265.0,581.0,303.0,575.0,412.0,537.0,265.0,535.0,175.0,534.9093,172.7919,532.0907,104.2081,508.0,183.0,492.0,238.0,493.0,173.0,577.0,176.0,591.0,235.0,556.0,190.0,622.0
11,052475643.jpg,478.0,407.0,473.0,306.0,495.0,270.0,567.0,273.0,580.0,308.0,584.0,405.0,531.0,272.0,528.0,178.0,527.3863,173.152,518.6137,103.848,494.0,186.0,468.0,239.0,479.0,182.0,577.0,173.0,587.0,230.0,553.0,180.0,622.0
12,029122914.jpg,0.0,0.0,301.0,473.0,302.0,346.0,362.0,345.0,367.0,470.0,0.0,0.0,332.0,346.0,325.0,217.0,326.2681,196.1669,330.7319,122.8331,275.0,299.0,262.0,300.0,278.0,220.0,371.0,213.0,396.0,309.0,393.0,290.0,3.0
